date,area,new_cases,total_deaths
2020-03-04T17:00:00,P.A. Bolzano,0,0
2020-03-04T17:00:00,P.A. Trento,1,0
2020-03-04T17:00:00,Piemonte,26,0
2020-03-04T17:00:00,Puglia,3,1
2020-03-04T17:00:00,Sardegna,1,0
2020-03-04T17:00:00,Sicilia,11,0
2020-03-04T17:00:00,Toscana,19,0
2020-03-04T17:00:00,Umbria,1,0
2020-03-04T17:00:00,Valle d'Aosta,0,0
2020-03-04T17:00:00,Veneto,53,6
2020-03-05T17:00:00,Abruzzo,1,0
2020-03-05T17:00:00,Basilicata,0,0
2020-03-05T17:00:00,Calabria,1,0
2020-03-05T17:00:00,Campania,14,0
2020-03-05T17:00:00,Emilia-Romagna,154,30
2020-03-05T17:00:00,Friuli Venezia Giulia,3,0
2020-03-05T17:00:00,Lazio,14,0
2020-03-05T17:00:00,Liguria,2,3
2020-03-05T17:00:00,Lombardia,431,98
2020-03-05T17:00:00,Marche,40,4
2020-03-05T17:00:00,Molise,4,0
2020-03-05T17:00:00,P.A. Bolzano,0,0
2020-03-05T17:00:00,P.A. Trento,2,0
2020-03-05T17:00:00,Piemonte,26,2
2020-03-05T17:00:00,Puglia,5,1
2020-03-05T17:00:00,Sardegna,0,0
2020-03-05T17:00:00,Sicilia,0,0
2020-03-05T17:00:00,Toscana,23,0
2020-03-05T17:00:00,Umbria,0,0
2020-03-05T17:00:00,Valle d'Aosta,2,0
2020-03-05T17:00:00,Veneto,47,10
2020-03-06T17:00:00,Abruzzo,1,0
2020-03-06T17:00:00,Basilicata,2,0
2020-03-06T17:00:00,Calabria,2,0
2020-03-06T17:00:00,Campania,12,0
2020-03-06T17:00:00,Emilia-Romagna,172,37
2020-03-06T17:00:00,Friuli Venezia Giulia,10,0
2020-03-06T17:00:00,Lazio,10,1
2020-03-06T17:00:00,Liguria,4,3
2020-03-06T17:00:00,Lombardia,361,135
2020-03-06T17:00:00,Marche,35,4
2020-03-06T17:00:00,Molise,5,0
2020-03-06T17:00:00,P.A. Bolzano,3,0
2020-03-06T17:00:00,P.A. Trento,3,0
2020-03-06T17:00:00,Piemonte,35,4
2020-03-06T17:00:00,Puglia,3,1
2020-03-06T17:00:00,Sardegna,3,0
2020-03-06T17:00:00,Sicilia,6,0
2020-03-06T17:00:00,Toscana,18,0
2020-03-06T17:00:00,Umbria,7,0
2020-03-06T17:00:00,Valle d'Aosta,5,0
2020-03-06T17:00:00,Veneto,81,12
2020-03-07T18:00:00,Abruzzo,2,0
2020-03-07T18:00:00,Basilicata,0,0
2020-03-07T18:00:00,Calabria,0,0
2020-03-07T18:00:00,Campania,4,0
2020-03-07T18:00:00,Emilia-Romagna,140,48
2020-03-07T18:00:00,Friuli Venezia Giulia,11,0
2020-03-07T18:00:00,Lazio,22,1
2020-03-07T18:00:00,Liguria,19,4
2020-03-07T18:00:00,Lombardia,808,154
2020-03-07T18:00:00,Marche,48,6
2020-03-07T18:00:00,Molise,2,0
2020-03-07T18:00:00,P.A. Bolzano,5,0
2020-03-07T18:00:00,P.A. Trento,4,0
2020-03-07T18:00:00,Piemonte,64,5
2020-03-07T18:00:00,Puglia,9,2
2020-03-07T18:00:00,Sardegna,0,0
2020-03-07T18:00:00,Sicilia,11,0
2020-03-07T18:00:00,Toscana,34,0
2020-03-07T18:00:00,Umbria,8,0
2020-03-07T18:00:00,Valle d'Aosta,1,0
2020-03-07T18:00:00,Veneto,55,13
2020-03-08T18:00:00,Abruzzo,6,0
2020-03-08T18:00:00,Basilicata,1,0
2020-03-08T18:00:00,Calabria,5,0
2020-03-08T18:00:00,Campania,40,0
2020-03-08T18:00:00,Emilia-Romagna,170,56
2020-03-08T18:00:00,Friuli Venezia Giulia,15,1
2020-03-08T18:00:00,Lazio,11,3
2020-03-08T18:00:00,Liguria,27,6
2020-03-08T18:00:00,Lombardia,769,267
2020-03-08T18:00:00,Marche,65,7
2020-03-08T18:00:00,Molise,0,0
2020-03-08T18:00:00,P.A. Bolzano,0,0
2020-03-08T18:00:00,P.A. Trento,9,0
2020-03-08T18:00:00,Piemonte,153,5
2020-03-08T18:00:00,Puglia,14,3
2020-03-08T18:00:00,Sardegna,6,0
2020-03-08T18:00:00,Sicilia,18,0
2020-03-08T18:00:00,Toscana,53,0
2020-03-08T18:00:00,Umbria,2,0
2020-03-08T18:00:00,Valle d'Aosta,1,0
2020-03-08T18:00:00,Veneto,127,18
2020-03-09T18:00:00,Abruzzo,13,0
2020-03-09T18:00:00,Basilicata,1,0
2020-03-09T18:00:00,Calabria,2,0
2020-03-09T18:00:00,Campania,19,0
2020-03-09T18:00:00,Emilia-Romagna,206,70
2020-03-09T18:00:00,Friuli Venezia Giulia,36,1
2020-03-09T18:00:00,Lazio,15,5
2020-03-09T18:00:00,Liguria,31,7
2020-03-09T18:00:00,Lombardia,1280,333
2020-03-09T18:00:00,Marche,51,10
2020-03-09T18:00:00,Molise,0,0
2020-03-09T18:00:00,P.A. Bolzano,0,0
2020-03-09T18:00:00,P.A. Trento,10,0
2020-03-09T18:00:00,Piemonte,-10,13
2020-03-09T18:00:00,Puglia,10,3
2020-03-09T18:00:00,Sardegna,8,0
2020-03-09T18:00:00,Sicilia,1,0
2020-03-09T18:00:00,Toscana,42,1
2020-03-09T18:00:00,Umbria,2,0
2020-03-09T18:00:00,Valle d'Aosta,6,0
2020-03-09T18:00:00,Veneto,74,20
2020-03-10T18:00:00,Abruzzo,8,1
2020-03-10T18:00:00,Basilicata,2,0
2020-03-10T18:00:00,Calabria,2,0
2020-03-10T18:00:00,Campania,7,0
2020-03-10T18:00:00,Emilia-Romagna,147,85
2020-03-10T18:00:00,Friuli Venezia Giulia,23,3
2020-03-10T18:00:00,Lazio,14,6
2020-03-10T18:00:00,Liguria,32,8
2020-03-10T18:00:00,Lombardia,322,468
2020-03-10T18:00:00,Marche,71,13
2020-03-10T18:00:00,Molise,1,0
2020-03-10T18:00:00,P.A. Bolzano,29,0
2020-03-10T18:00:00,P.A. Trento,19,0
2020-03-10T18:00:00,Piemonte,103,17
2020-03-10T18:00:00,Puglia,9,3
2020-03-10T18:00:00,Sardegna,1,0
2020-03-10T18:00:00,Sicilia,8,0
2020-03-10T18:00:00,Toscana,56,1
2020-03-10T18:00:00,Umbria,9,0
2020-03-10T18:00:00,Valle d'Aosta,2,0
2020-03-10T18:00:00,Veneto,112,26
2020-03-11T17:00:00,Abruzzo,0,1
2020-03-11T17:00:00,Basilicata,1,0
2020-03-11T17:00:00,Calabria,6,0
2020-03-11T17:00:00,Campania,27,1
2020-03-11T17:00:00,Emilia-Romagna,206,113
2020-03-11T17:00:00,Friuli Venezia Giulia,10,6
2020-03-11T17:00:00,Lazio,34,6
2020-03-11T17:00:00,Liguria,53,8
2020-03-11T17:00:00,Lombardia,1489,617
2020-03-11T17:00:00,Marche,85,18
2020-03-11T17:00:00,Molise,1,0
2020-03-11T17:00:00,P.A. Bolzano,37,0
2020-03-11T17:00:00,P.A. Trento,25,0
2020-03-11T17:00:00,Piemonte,48,21
2020-03-11T17:00:00,Puglia,18,5
2020-03-11T17:00:00,Sardegna,17,0
2020-03-11T17:00:00,Sicilia,21,0
2020-03-11T17:00:00,Toscana,56,1
2020-03-11T17:00:00,Umbria,9,0
2020-03-11T17:00:00,Valle d'Aosta,3,1
2020-03-11T17:00:00,Veneto,167,29
2020-03-12T17:00:00,Abruzzo,46,2
2020-03-12T17:00:00,Basilicata,0,0
2020-03-12T17:00:00,Calabria,14,0
2020-03-12T17:00:00,Campania,25,1
2020-03-12T17:00:00,Emilia-Romagna,208,146
2020-03-12T17:00:00,Friuli Venezia Giulia,41,8
2020-03-12T17:00:00,Lazio,50,9
2020-03-12T17:00:00,Liguria,80,11
2020-03-12T17:00:00,Lombardia,1445,744
2020-03-12T17:00:00,Marche,113,22
2020-03-12T17:00:00,Molise,0,0
2020-03-12T17:00:00,P.A. Bolzano,29,1
2020-03-12T17:00:00,P.A. Trento,30,1
2020-03-12T17:00:00,Piemonte,79,26
2020-03-12T17:00:00,Puglia,27,5
2020-03-12T17:00:00,Sardegna,2,0
2020-03-12T17:00:00,Sicilia,32,2
2020-03-12T17:00:00,Toscana,44,5
2020-03-12T17:00:00,Umbria,18,0
2020-03-12T17:00:00,Valle d'Aosta,7,1
2020-03-12T17:00:00,Veneto,361,32
2020-03-13T17:00:00,Abruzzo,5,2
2020-03-13T17:00:00,Basilicata,2,0
2020-03-13T17:00:00,Calabria,5,0
2020-03-13T17:00:00,Campania,41,2
2020-03-13T17:00:00,Emilia-Romagna,316,201
2020-03-13T17:00:00,Friuli Venezia Giulia,90,10
2020-03-13T17:00:00,Lazio,77,11
2020-03-13T17:00:00,Liguria,71,17
2020-03-13T17:00:00,Lombardia,1095,890
2020-03-13T17:00:00,Marche,133,27
2020-03-13T17:00:00,Molise,1,0
2020-03-13T17:00:00,P.A. Bolzano,21,2
2020-03-13T17:00:00,P.A. Trento,56,2
2020-03-13T17:00:00,Piemonte,260,46
2020-03-13T17:00:00,Puglia,25,5
2020-03-13T17:00:00,Sardegna,4,0
2020-03-13T17:00:00,Sicilia,15,2
2020-03-13T17:00:00,Toscana,106,5
2020-03-13T17:00:00,Umbria,12,1
2020-03-13T17:00:00,Valle d'Aosta,1,1
2020-03-13T17:00:00,Veneto,211,42
2020-03-14T17:00:00,Abruzzo,23,2
2020-03-14T17:00:00,Basilicata,0,0
2020-03-14T17:00:00,Calabria,22,0
2020-03-14T17:00:00,Campania,52,6
2020-03-14T17:00:00,Emilia-Romagna,381,241
2020-03-14T17:00:00,Friuli Venezia Giulia,44,13
2020-03-14T17:00:00,Lazio,80,13
2020-03-14T17:00:00,Liguria,118,27
2020-03-14T17:00:00,Lombardia,1865,966
2020-03-14T17:00:00,Marche,174,36
2020-03-14T17:00:00,Molise,0,0
2020-03-14T17:00:00,P.A. Bolzano,48,3
2020-03-14T17:00:00,P.A. Trento,43,2
2020-03-14T17:00:00,Piemonte,33,59
2020-03-14T17:00:00,Puglia,37,8
2020-03-14T17:00:00,Sardegna,4,0
2020-03-14T17:00:00,Sicilia,26,2
2020-03-14T17:00:00,Toscana,160,6
2020-03-14T17:00:00,Umbria,31,1
2020-03-14T17:00:00,Valle d'Aosta,14,1
2020-03-14T17:00:00,Veneto,342,55
2020-03-15T17:00:00,Abruzzo,25,3
2020-03-15T17:00:00,Basilicata,1,0
2020-03-15T17:00:00,Calabria,8,1
2020-03-15T17:00:00,Campania,61,9
2020-03-15T17:00:00,Emilia-Romagna,449,284
2020-03-15T17:00:00,Friuli Venezia Giulia,46,14
2020-03-15T17:00:00,Lazio,79,16
2020-03-15T17:00:00,Liguria,96,33
2020-03-15T17:00:00,Lombardia,1587,1218
2020-03-15T17:00:00,Marche,234,46
2020-03-15T17:00:00,Molise,0,0
2020-03-15T17:00:00,P.A. Bolzano,31,5
2020-03-15T17:00:00,P.A. Trento,172,6
2020-03-15T17:00:00,Piemonte,238,81
2020-03-15T17:00:00,Puglia,64,16
2020-03-15T17:00:00,Sardegna,30,2
2020-03-15T17:00:00,Sicilia,32,2
2020-03-15T17:00:00,Toscana,151,8
2020-03-15T17:00:00,Umbria,36,1
2020-03-15T17:00:00,Valle d'Aosta,15,1
2020-03-15T17:00:00,Veneto,235,63
2020-03-16T17:00:00,Abruzzo,39,4
2020-03-16T17:00:00,Basilicata,1,0
2020-03-16T17:00:00,Calabria,21,1
2020-03-16T17:00:00,Campania,67,9
2020-03-16T17:00:00,Emilia-Romagna,429,346
2020-03-16T17:00:00,Friuli Venezia Giulia,39,22
2020-03-16T17:00:00,Lazio,87,19
2020-03-16T17:00:00,Liguria,108,50
2020-03-16T17:00:00,Lombardia,1377,1420
2020-03-16T17:00:00,Marche,109,57
2020-03-16T17:00:00,Molise,4,1
2020-03-16T17:00:00,P.A. Bolzano,37,6
2020-03-16T17:00:00,P.A. Trento,0,6
2020-03-16T17:00:00,Piemonte,405,111
2020-03-16T17:00:00,Puglia,0,16
2020-03-16T17:00:00,Sardegna,30,2
2020-03-16T17:00:00,Sicilia,25,2
2020-03-16T17:00:00,Toscana,85,14
2020-03-16T17:00:00,Umbria,21,1
2020-03-16T17:00:00,Valle d'Aosta,48,2
2020-03-16T17:00:00,Veneto,301,69
2020-03-17T17:00:00,Abruzzo,53,6
2020-03-17T17:00:00,Basilicata,8,0
2020-03-17T17:00:00,Calabria,25,1
2020-03-17T17:00:00,Campania,60,9
2020-03-17T17:00:00,Emilia-Romagna,409,393
2020-03-17T17:00:00,Friuli Venezia Giulia,8,30
2020-03-17T17:00:00,Lazio,84,23
2020-03-17T17:00:00,Liguria,111,60
2020-03-17T17:00:00,Lombardia,1571,1640
2020-03-17T17:00:00,Marche,129,69
2020-03-17T17:00:00,Molise,4,1
2020-03-17T17:00:00,P.A. Bolzano,50,8
2020-03-17T17:00:00,P.A. Trento,7,7
2020-03-17T17:00:00,Piemonte,381,133
2020-03-17T17:00:00,Puglia,110,18
2020-03-17T17:00:00,Sardegna,10,2
2020-03-17T17:00:00,Sicilia,24,3
2020-03-17T17:00:00,Toscana,187,17
2020-03-17T17:00:00,Umbria,33,1
2020-03-17T17:00:00,Valle d'Aosta,31,2
2020-03-17T17:00:00,Veneto,231,80
2020-03-18T17:00:00,Abruzzo,34,7
2020-03-18T17:00:00,Basilicata,7,0
2020-03-18T17:00:00,Calabria,15,1
2020-03-18T17:00:00,Campania,0,9
2020-03-18T17:00:00,Emilia-Romagna,594,458
2020-03-18T17:00:00,Friuli Venezia Giulia,68,31
2020-03-18T17:00:00,Lazio,117,32
2020-03-18T17:00:00,Liguria,109,73
2020-03-18T17:00:00,Lombardia,1493,1959
2020-03-18T17:00:00,Marche,197,92
2020-03-18T17:00:00,Molise,3,1
2020-03-18T17:00:00,P.A. Bolzano,85,9
2020-03-18T17:00:00,P.A. Trento,70,7
2020-03-18T17:00:00,Piemonte,444,154
2020-03-18T17:00:00,Puglia,43,19
2020-03-18T17:00:00,Sardegna,17,2
2020-03-18T17:00:00,Sicilia,45,3
2020-03-18T17:00:00,Toscana,277,22
2020-03-18T17:00:00,Umbria,50,2
2020-03-18T17:00:00,Valle d'Aosta,29,3
2020-03-18T17:00:00,Veneto,510,94
2020-03-19T17:00:00,Abruzzo,122,11
2020-03-19T17:00:00,Basilicata,10,0
2020-03-19T17:00:00,Calabria,40,3
2020-03-19T17:00:00,Campania,192,17
2020-03-19T17:00:00,Emilia-Romagna,689,531
2020-03-19T17:00:00,Friuli Venezia Giulia,137,36
2020-03-19T17:00:00,Lazio,99,38
2020-03-19T17:00:00,Liguria,172,91
2020-03-19T17:00:00,Lombardia,2171,2168
2020-03-19T17:00:00,Marche,169,115
2020-03-19T17:00:00,Molise,18,2
2020-03-19T17:00:00,P.A. Bolzano,60,14
2020-03-19T17:00:00,P.A. Trento,68,12
2020-03-19T17:00:00,Piemonte,591,175
2020-03-19T17:00:00,Puglia,95,25
2020-03-19T17:00:00,Sardegna,72,2
2020-03-19T17:00:00,Sicilia,58,4
2020-03-19T17:00:00,Toscana,152,38
2020-03-19T17:00:00,Umbria,87,2
2020-03-19T17:00:00,Valle d'Aosta,50,6
2020-03-19T17:00:00,Veneto,270,115
2020-03-20T17:00:00,Abruzzo,64,17
2020-03-20T17:00:00,Basilicata,15,0
2020-03-20T17:00:00,Calabria,38,4
2020-03-20T17:00:00,Campania,97,17
2020-03-20T17:00:00,Emilia-Romagna,754,640
2020-03-20T17:00:00,Friuli Venezia Giulia,57,38
2020-03-20T17:00:00,Lazio,185,43
2020-03-20T17:00:00,Liguria,162,119
2020-03-20T17:00:00,Lombardia,2380,2549
2020-03-20T17:00:00,Marche,244,137
2020-03-20T17:00:00,Molise,4,5
2020-03-20T17:00:00,P.A. Bolzano,112,17
2020-03-20T17:00:00,P.A. Trento,119,13
2020-03-20T17:00:00,Piemonte,529,209
2020-03-20T17:00:00,Puglia,103,26
2020-03-20T17:00:00,Sardegna,87,2
2020-03-20T17:00:00,Sicilia,68,4
2020-03-20T17:00:00,Toscana,311,47
2020-03-20T17:00:00,Umbria,61,7
2020-03-20T17:00:00,Valle d'Aosta,49,7
2020-03-20T17:00:00,Veneto,547,131
2020-03-21T17:00:00,Abruzzo,80,22
2020-03-21T17:00:00,Basilicata,14,0
2020-03-21T17:00:00,Calabria,28,5
2020-03-21T17:00:00,Campania,95,22
2020-03-21T17:00:00,Emilia-Romagna,737,715
2020-03-21T17:00:00,Friuli Venezia Giulia,134,42
2020-03-21T17:00:00,Lazio,182,50
